2021-08-14 09:15:14 status half-installed libpam0g:arm64 1.3.1-5ubuntu4
2021-08-14 09:15:14 status unpacked libpam0g:arm64 1.3.1-5ubuntu4
2021-08-14 09:15:14 install libpcre2-8-0:arm64 <none> 10.34-7
2021-08-14 09:15:14 status half-installed libpcre2-8-0:arm64 10.34-7
2021-08-14 09:15:14 status unpacked libpcre2-8-0:arm64 10.34-7
2021-08-14 09:15:15 install libpcre3:arm64 <none> 2:8.39-12build1
2021-08-14 09:15:15 status half-installed libpcre3:arm64 2:8.39-12build1
2021-08-14 09:15:15 status unpacked libpcre3:arm64 2:8.39-12build1
2021-08-14 09:15:15 install libprocps8:arm64 <none> 2:3.3.16-1ubuntu2
2021-08-14 09:15:15 status half-installed libprocps8:arm64 2:3.3.16-1ubuntu2
2021-08-14 09:15:15 status unpacked libprocps8:arm64 2:3.3.16-1ubuntu2
2021-08-14 09:15:15 install libselinux1:arm64 <none> 3.0-1build2
2021-08-14 09:15:15 status half-installed libselinux1:arm64 3.0-1build2
2021-08-14 09:15:15 status unpacked libselinux1:arm64 3.0-1build2
2021-08-14 09:15:16 install libsemanage-common:all <none> 3.0-1build2
2021-08-14 09:15:16 status half-installed libsemanage-common:all 3.0-1build2
2021-08-14 09:15:16 status unpacked libsemanage-common:all 3.0-1build2
2021-08-14 09:15:16 install libsemanage1:arm64 <none> 3.0-1build2
2021-08-14 09:15:16 status half-installed libsemanage1:arm64 3.0-1build2
2021-08-14 09:15:16 status unpacked libsemanage1:arm64 3.0-1build2
2021-08-14 09:15:16 install libsepol1:arm64 <none> 3.0-1
2021-08-14 09:15:16 status half-installed libsepol1:arm64 3.0-1
2021-08-14 09:15:16 status unpacked libsepol1:arm64 3.0-1
2021-08-14 09:15:17 install libsmartcols1:arm64 <none> 2.34-0.1ubuntu9
2021-08-14 09:15:17 status half-installed libsmartcols1:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:17 status unpacked libsmartcols1:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:17 install libss2:arm64 <none> 1.45.5-2ubuntu1
2021-08-14 09:15:17 status half-installed libss2:arm64 1.45.5-2ubuntu1
2021-08-14 09:15:17 status unpacked libss2:arm64 1.45.5-2ubuntu1
2021-08-14 09:15:17 install libsystemd0:arm64 <none> 245.4-4ubuntu3
2021-08-14 09:15:17 status half-installed libsystemd0:arm64 245.4-4ubuntu3
2021-08-14 09:15:17 status unpacked libsystemd0:arm64 245.4-4ubuntu3
2021-08-14 09:15:18 install libtinfo6:arm64 <none> 6.2-0ubuntu2
2021-08-14 09:15:18 status half-installed libtinfo6:arm64 6.2-0ubuntu2
2021-08-14 09:15:18 status unpacked libtinfo6:arm64 6.2-0ubuntu2
2021-08-14 09:15:18 install libudev1:arm64 <none> 245.4-4ubuntu3
2021-08-14 09:15:18 status half-installed libudev1:arm64 245.4-4ubuntu3
2021-08-14 09:15:18 status unpacked libudev1:arm64 245.4-4ubuntu3
2021-08-14 09:15:18 install libuuid1:arm64 <none> 2.34-0.1ubuntu9
2021-08-14 09:15:18 status half-installed libuuid1:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:18 status unpacked libuuid1:arm64 2.34-0.1ubuntu9
2021-08-14 09:15:19 install libzstd1:arm64 <none> 1.4.4+dfsg-3
2021-08-14 09:15:19 status half-installed libzstd1:arm64 1.4.4+dfsg-3
2021-08-14 09:15:19 status unpacked libzstd1:arm64 1.4.4+dfsg-3
2021-08-14 09:15:19 install login:arm64 <none> 1:4.8.1-1ubuntu5
